sid,mm,fm,ac,eebm,bswa,mwsm,mana,pom,hrm,esm,adpjm,erem,sta,stb,ines,care,cala,calb,ec
SD1011001,87,NA,65,99,63,75,70,60,NA,NA,NA,NA,71,71,NA,NA,81,62,78
SD1011002,92,77,60,99,86,86,62,77,89,65,71,63,76,75,74,68,84,60,64
SD1011003,89,82,87,99,76,92,74,75,88,64,95,69,66,85,95,84,72,70,75
SD1011005,80,80,92,99,79,75,74,94,78,67,89,66,75,84,84,85,60,72,81
SD1011006,95,83,93,99,99,89,73,98,98,86,85,70,80,98,88,91,85,80,75
SD1011007,90,76,73,99,96,87,70,86,75,78,83,67,77,81,82,91,67,60,74
SD1011008,82,67,75,99,81,60,62,60,82,72,66,60,62,66,81,81,60,61,88
SD1011009,85,79,86,99,82,69,68,92,83,78,91,66,84,92,90,89,78,80,86
SD1011010,90,83,76,99,83,89,60,95,94,72,73,64,73,84,83,79,83,62,75
SD1011011,91,90,88,99,89,92,69,98,96,79,91,70,88,96,86,86,84,87,89
SD1011012,90,72,82,99,78,73,64,92,92,80,74,64,69,72,71,75,66,67,70
SD1011013,86,94,80,99,95,89,67,78,95,75,66,71,90,89,84,75,79,72,89
SD1011014,91,83,79,99,90,78,71,83,89,64,82,65,86,89,84,74,87,70,91
SD1011015,91,79,85,99,85,86,64,83,93,90,80,66,83,92,86,94,80,76,78
SD1011016,86,79,84,99,79,72,70,86,91,79,69,63,75,81,95,78,74,73,87
SD1011017,84,74,67,81,75,40,68,67,80,62,71,61,70,67,81,80,65,70,83
SD1011018,91,81,84,99,83,81,68,72,94,92,89,69,80,82,86,100,80,62,95
SD1011019,88,81,90,99,92,87,73,80,89,69,79,66,86,73,95,72,76,75,81
SD1011020,90,89,83,99,72,68,65,76,94,88,89,75,68,73,78,84,76,70,79
SD1011021,91,78,73,99,96,60,54,85,93,75,77,55,62,60,77,73,86,70,82
SD1011022,82,74,85,89,88,81,65,84,74,71,76,66,69,50,95,75,67,60,64
SD1011023,87,74,84,99,84,82,71,88,84,70,83,65,74,85,76,76,75,70,87
SD1011024,86,85,81,99,93,60,68,96,82,82,86,71,84,79,85,80,83,62,83
